"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"817","Shigella","Initial and sequel disease","65+","TotalFrictionLow",486318.779869372,234557.866121625,1081839.89109129
"818","Shigella","Initial and sequel disease","65+","Direct",103225.775342242,59225.3232880495,166706.039707468
"819","Shigella","Initial and sequel disease","65+","Pain and suffering",93794.0712537339,32247.9135748356,217743.284973011
"820","Shigella","Initial and sequel disease","All ages","Premature mortality",465917.225060696,159555.365287103,1158784.69131784
"821","Shigella","Initial and sequel disease","All ages","HumanCapital",1264984.30430241,459331.907863528,2839358.29777428
"822","Shigella","Initial and sequel disease","All ages","FrictionHigh",1011987.44344193,367465.526290823,2271486.63821942
"823","Shigella","Initial and sequel disease","All ages","FrictionLow",379495.291290723,137799.572359058,851807.489332283
"824","Shigella","Initial and sequel disease","All ages","TotalHumanCapital",3422567.45624324,1679486.25829465,6692704.62950347
"825","Shigella","Initial and sequel disease","All ages","TotalFrictionHigh",3169981.15907791,1579938.80969071,6126851.52328312
"826","Shigella","Initial and sequel disease","All ages","TotalFrictionLow",2536598.86394007,1325114.12397989,4736866.82743367
"827","Shigella","Initial and sequel disease","All ages","Direct",603270.983366194,403638.070273914,970358.436370417
"828","Shigella","Initial and sequel disease","All ages","Pain and suffering",1001879.5039122,341868.471190162,2329929.22741833
"829","Toxoplasma gondii","Toxoplasmosis","<5","Premature mortality",63015.504959032,530.694429553613,636071.368830543
"830","Toxoplasma gondii","Toxoplasmosis","<5","HumanCapital",363279.399926411,127171.101955607,850334.832516701
"831","Toxoplasma gondii","Toxoplasmosis","<5","FrictionHigh",290623.519941129,101736.881564486,680267.866013361
"832","Toxoplasma gondii","Toxoplasmosis","<5","FrictionLow",108983.819977923,38151.3305866821,255100.44975501
"833","Toxoplasma gondii","Toxoplasmosis","<5","TotalHumanCapital",676400.159060076,272999.413775557,1476131.28867051
"834","Toxoplasma gondii","Toxoplasmosis","<5","TotalFrictionHigh",598565.709695418,242147.702985819,1327831.15040138
"835","Toxoplasma gondii","Toxoplasmosis","<5","TotalFrictionLow",396421.515214552,161028.230725987,991232.875343712
"836","Toxoplasma gondii","Toxoplasmosis","<5","Direct",69863.9397125531,35740.2971753306,123349.057285233
"837","Toxoplasma gondii","Toxoplasmosis","<5","Pain and suffering",96210.5867035941,29646.6245931862,231488.50168807
"838","Toxoplasma gondii","Toxoplasmosis","5-64","Premature mortality",992439.864835115,248223.442517038,2958370.14121189
"839","Toxoplasma gondii","Toxoplasmosis","5-64","HumanCapital",4257240.53367057,1702495.64617987,7920034.27460595
"840","Toxoplasma gondii","Toxoplasmosis","5-64","FrictionHigh",3405792.42693646,1361996.51694389,6336027.41968476
"841","Toxoplasma gondii","Toxoplasmosis","5-64","FrictionLow",1277172.16010117,510748.69385396,2376010.28238179
"842","Toxoplasma gondii","Toxoplasmosis","5-64","TotalHumanCapital",8884990.89415492,4968967.66600772,13991535.3518089
"843","Toxoplasma gondii","Toxoplasmosis","5-64","TotalFrictionHigh",8021037.54356075,4554568.40841317,12516481.1594267
"844","Toxoplasma gondii","Toxoplasmosis","5-64","TotalFrictionLow",5847685.02993093,3400796.94768543,9057383.49838216
"845","Toxoplasma gondii","Toxoplasmosis","5-64","Direct",2483485.31503217,1150803.68410787,4403062.32796443
"846","Toxoplasma gondii","Toxoplasmosis","5-64","Pain and suffering",760477.062554781,263577.491372581,1688906.72026888
"847","Toxoplasma gondii","Toxoplasmosis","65+","Premature mortality",398616.740261634,50856.5572188218,1681115.84613073
"848","Toxoplasma gondii","Toxoplasmosis","65+","HumanCapital",196137.126329142,46338.8864874333,1058235.65840314
"849","Toxoplasma gondii","Toxoplasmosis","65+","FrictionHigh",156909.701063314,37071.1091899466,846588.526722511
"850","Toxoplasma gondii","Toxoplasmosis","65+","FrictionLow",58841.1378987427,13901.66594623,317470.697520942
"851","Toxoplasma gondii","Toxoplasmosis","65+","TotalHumanCapital",1092690.04423312,503648.225204735,2695118.08775514
"852","Toxoplasma gondii","Toxoplasmosis","65+","TotalFrictionHigh",1039921.62183857,481795.347920023,2541078.69401372
"853","Toxoplasma gondii","Toxoplasmosis","65+","TotalFrictionLow",891873.056192808,415486.147446307,2213309.99511073
"854","Toxoplasma gondii","Toxoplasmosis","65+","Direct",286190.654824789,127424.875655884,515683.613248772
"855","Toxoplasma gondii","Toxoplasmosis","65+","Pain and suffering",69281.7328558278,24617.4783386857,154585.41520219
"856","Toxoplasma gondii","Toxoplasmosis","All ages","Premature mortality",1723565.93405532,621430.874853039,4023846.03859906
"857","Toxoplasma gondii","Toxoplasmosis","All ages","HumanCapital",4955066.9227581,1972996.71092828,9290451.33709246
"858","Toxoplasma gondii","Toxoplasmosis","All ages","FrictionHigh",3964053.53820648,1578397.36874262,7432361.06967397
"859","Toxoplasma gondii","Toxoplasmosis","All ages","FrictionLow",1486520.07682743,591899.013278483,2787135.40112774
"860","Toxoplasma gondii","Toxoplasmosis","All ages","TotalHumanCapital",10859554.4618668,6325391.10515637,16868688.3115001
"861","Toxoplasma gondii","Toxoplasmosis","All ages","TotalFrictionHigh",9862390.97045894,5837832.06301939,15135155.4222806
"862","Toxoplasma gondii","Toxoplasmosis","All ages","TotalFrictionLow",7337824.69329299,4512285.38302277,11009707.9622365
"863","Toxoplasma gondii","Toxoplasmosis","All ages","Direct",2858051.62739171,1497263.19726544,4794328.59347311
"864","Toxoplasma gondii","Toxoplasmosis","All ages","Pain and suffering",928480.79064579,319752.706631057,2064947.24459024
"865","Toxoplasma gondii","Initial and sequel disease","<5","Premature mortality",63015.504959032,530.694429553613,636071.368830543
"866","Toxoplasma gondii","Initial and sequel disease","<5","HumanCapital",363279.399926411,127171.101955607,850334.832516701
"867","Toxoplasma gondii","Initial and sequel disease","<5","FrictionHigh",290623.519941129,101736.881564486,680267.866013361
"868","Toxoplasma gondii","Initial and sequel disease","<5","FrictionLow",108983.819977923,38151.3305866821,255100.44975501
"869","Toxoplasma gondii","Initial and sequel disease","<5","TotalHumanCapital",676400.159060076,272999.413775557,1476131.28867051
"870","Toxoplasma gondii","Initial and sequel disease","<5","TotalFrictionHigh",598565.709695418,242147.702985819,1327831.15040138
"871","Toxoplasma gondii","Initial and sequel disease","<5","TotalFrictionLow",396421.515214552,161028.230725987,991232.875343712
"872","Toxoplasma gondii","Initial and sequel disease","<5","Direct",69863.9397125531,35740.2971753306,123349.057285233
"873","Toxoplasma gondii","Initial and sequel disease","<5","Pain and suffering",96210.5867035941,29646.6245931862,231488.50168807
