"","Measure","Pathogen","Disease","AgeGroup","median","5%","95%"
"105","Deaths","Listeria monocytogenes","Initial and sequel disease","<5",2.42528969768462,1.33807826541815,4.10226203096045
"106","Deaths","Listeria monocytogenes","Initial and sequel disease","5-64",0.647004078468729,0.211776413874511,1.52298864196596
"107","Deaths","Listeria monocytogenes","Initial and sequel disease","65+",4.99308631415905,3.01178469264387,7.7894561055396
"108","Deaths","Listeria monocytogenes","Initial and sequel disease","All ages",8.27807475132885,5.79059739573132,11.4857440435432
"109","Deaths","Salmonella Typhi","Typhoid Fever","<5",0.0030027256921318,2.64665883446364e-05,0.0315358126009906
"110","Deaths","Salmonella Typhi","Typhoid Fever","5-64",0.00324162496233419,2.56352143246116e-05,0.0344170158964009
"111","Deaths","Salmonella Typhi","Typhoid Fever","65+",0.018943717932788,0.00230791118771138,0.084423022141586
"112","Deaths","Salmonella Typhi","Typhoid Fever","All ages",0.0351914508438317,0.00805936698591182,0.110878408924118
"113","Deaths","Salmonella Typhi","Initial and sequel disease","<5",0.0030027256921318,2.64665883446364e-05,0.0315358126009906
"114","Deaths","Salmonella Typhi","Initial and sequel disease","5-64",0.00324162496233419,2.56352143246116e-05,0.0344170158964009
"115","Deaths","Salmonella Typhi","Initial and sequel disease","65+",0.018943717932788,0.00230791118771138,0.084423022141586
"116","Deaths","Salmonella Typhi","Initial and sequel disease","All ages",0.0351914508438317,0.00805936698591182,0.110878408924118
"117","Deaths","STEC","STEC","<5",0.0227904077820572,0.000197097515500504,0.210710275968223
"118","Deaths","STEC","STEC","5-64",0.243068341563007,0.0574763852085263,0.731384216503118
"119","Deaths","STEC","STEC","65+",0.0276561962399368,0.000233223547451762,0.256799536232793
"120","Deaths","STEC","STEC","All ages",0.362072230900434,0.113169270914945,0.909423731543738
"121","Deaths","STEC","Haemolytic uremic syndrome","<5",0.0134656564958928,0.000114982126117552,0.127878373754779
"122","Deaths","STEC","Haemolytic uremic syndrome","5-64",0.814741586091229,0.363465305806756,1.66454714262556
"123","Deaths","STEC","Haemolytic uremic syndrome","65+",1.48006445655015,0.703991051045943,2.8600654746586
"124","Deaths","STEC","Haemolytic uremic syndrome","All ages",2.4111401702903,1.40484883039977,3.95894006638932
"125","Deaths","STEC","Initial and sequel disease","<5",0.0547704030090342,0.00392538582101752,0.271574859121434
"126","Deaths","STEC","Initial and sequel disease","5-64",1.11582734319124,0.564588956012179,2.04897877411612
"127","Deaths","STEC","Initial and sequel disease","65+",1.54720897292686,0.75333530610416,2.93133075406961
"128","Deaths","STEC","Initial and sequel disease","All ages",2.82940832497832,1.74821559016974,4.43803025160676
"129","Deaths","Yersinia Enterocolitica","Yersiniosis","<5",0.0293315275150311,0.000250645413651735,0.262869308582165
"130","Deaths","Yersinia Enterocolitica","Yersiniosis","5-64",0.0321254205957195,0.000267993821272374,0.292914713290457
"131","Deaths","Yersinia Enterocolitica","Yersiniosis","65+",0.0355028800904592,0.000310510697737028,0.317042865541487
"132","Deaths","Yersinia Enterocolitica","Yersiniosis","All ages",0.171676534617858,0.0247495362084848,0.596762210799577
"133","Deaths","Yersinia Enterocolitica","Reactive arthritis","<5",0.000672876900288103,5.52195168143056e-06,0.00808228066550747
"134","Deaths","Yersinia Enterocolitica","Reactive arthritis","5-64",0.000561609111733106,4.508081202163e-06,0.00685510508668244
"135","Deaths","Yersinia Enterocolitica","Reactive arthritis","65+",0.000632497083300949,4.90411454286934e-06,0.00758072450533152
"136","Deaths","Yersinia Enterocolitica","Reactive arthritis","All ages",0.00338796018812006,0.000375821181215068,0.0173493968132333
"137","Deaths","Yersinia Enterocolitica","Initial and sequel disease","<5",0.0314835346393725,0.00106309605325327,0.264918226874645
"138","Deaths","Yersinia Enterocolitica","Initial and sequel disease","5-64",0.0338662943297821,0.00102517340097063,0.294317020776785
"139","Deaths","Yersinia Enterocolitica","Initial and sequel disease","65+",0.037586090858014,0.00117255584695664,0.318788336927985
"140","Deaths","Yersinia Enterocolitica","Initial and sequel disease","All ages",0.176997606786149,0.0297793174435758,0.602322768011171
"141","Deaths","All pathogens","Initial","<5",3.54701074175928,2.23637867919218,5.40014629942979
"142","Deaths","All pathogens","Initial","5-64",4.2739315493516,2.46984414939442,7.0990254496737
"143","Deaths","All pathogens","Initial","65+",37.4677326425637,21.8014311209899,62.0189020114119
"144","Deaths","All pathogens","Initial","All ages",45.6196242837889,29.6756294391779,70.3049210289185
"145","Deaths","All pathogens","Reactive arthritis","<5",0.0284154502191969,0.00325624161418669,0.131058413619494
"146","Deaths","All pathogens","Reactive arthritis","5-64",0.0276885182514147,0.00277520527377644,0.158172184698323
"147","Deaths","All pathogens","Reactive arthritis","65+",0.0296364729931386,0.00271928388025186,0.176252351352796
"148","Deaths","All pathogens","Reactive arthritis","All ages",0.118391491799683,0.0340730261779724,0.329514451572977
"149","Deaths","All pathogens","Irritable bowel syndrome","<5",0.00794250319154896,0.000628751774930877,0.0441820775970891
"150","Deaths","All pathogens","Irritable bowel syndrome","5-64",0.0322203258918285,0.00741050178283515,0.120267073147381
"151","Deaths","All pathogens","Irritable bowel syndrome","65+",0.175466264120141,0.0738927850193755,0.451271070085198
"152","Deaths","All pathogens","Irritable bowel syndrome","All ages",0.234430583783347,0.113734915226491,0.520150737311551
"153","Deaths","All pathogens","Guillain-Barré syndrome","<5",0.00977985910519814,8.04821419273841e-05,0.0955084780736051
"154","Deaths","All pathogens","Guillain-Barré syndrome","5-64",0.749491066005365,0.30051618687858,1.5655679822941
"155","Deaths","All pathogens","Guillain-Barré syndrome","65+",8.57929115842741,3.75034616813238,15.8725965783987
"156","Deaths","All pathogens","Guillain-Barré syndrome","All ages",9.421359029739,4.53952388948565,16.741726802523
"157","Deaths","All pathogens","Haemolytic uremic syndrome","<5",0.0134656564958928,0.000114982126117552,0.127878373754779
"158","Deaths","All pathogens","Haemolytic uremic syndrome","5-64",0.814741586091229,0.363465305806756,1.66454714262556
"159","Deaths","All pathogens","Haemolytic uremic syndrome","65+",1.48006445655015,0.703991051045943,2.8600654746586
"160","Deaths","All pathogens","Haemolytic uremic syndrome","All ages",2.4111401702903,1.40484883039977,3.95894006638932
"161","Deaths","All pathogens","Initial and sequel disease","<5",3.65783566018321,2.34106823334447,5.51679269052596
"162","Deaths","All pathogens","Initial and sequel disease","5-64",6.08253881085701,4.04917109003811,9.06269943182015
"163","Deaths","All pathogens","Initial and sequel disease","65+",48.4611984119719,31.4126033165381,73.7236390133181
"164","Deaths","All pathogens","Initial and sequel disease","All ages",58.5213313225577,41.1777091191743,83.9160677997575
"165","Hospitalisations","All gastro pathogens","Gastroenteritis","<5",4926.56233807764,2575.76170156311,8664.80087810127
"166","Hospitalisations","All gastro pathogens","Gastroenteritis","5-64",27623.9194491437,14428.4288137961,48349.5831005329
"167","Hospitalisations","All gastro pathogens","Gastroenteritis","65+",16229.1709792866,8489.47744058492,28520.0069574142
"168","Hospitalisations","All gastro pathogens","Gastroenteritis","All ages",50069.8076874313,33073.3146669115,73377.4876747761
"169","Hospitalisations","All gastro pathogens","Reactive arthritis","<5",25.0131560409358,18.2652124995243,33.216541321204
"170","Hospitalisations","All gastro pathogens","Reactive arthritis","5-64",183.913175664454,128.674241168431,253.955929827377
"171","Hospitalisations","All gastro pathogens","Reactive arthritis","65+",42.094692082158,29.2090642319576,58.5821930232026
"172","Hospitalisations","All gastro pathogens","Reactive arthritis","All ages",252.229128420134,194.188799252667,323.784144856192
"173","Hospitalisations","All gastro pathogens","Irritable bowel syndrome","<5",2.5737515235893,1.44576472569064,4.84252960999067
"174","Hospitalisations","All gastro pathogens","Irritable bowel syndrome","5-64",1610.35335838234,869.350714642036,3440.85401302183
"175","Hospitalisations","All gastro pathogens","Irritable bowel syndrome","65+",385.581478123254,206.098868078748,842.567127427104
"176","Hospitalisations","All gastro pathogens","Irritable bowel syndrome","All ages",2065.56411988299,1235.34535816613,3917.12057560598
"177","Hospitalisations","All gastro pathogens","Guillain-Barré syndrome","<5",8.11781699013086,3.96265183274049,16.7087507494985
"178","Hospitalisations","All gastro pathogens","Guillain-Barré syndrome","5-64",73.9590042384985,36.1025364392483,152.228433950228
"179","Hospitalisations","All gastro pathogens","Guillain-Barré syndrome","65+",23.2069897315985,11.3283189931615,47.7665125418403
"180","Hospitalisations","All gastro pathogens","Guillain-Barré syndrome","All ages",105.283810960228,51.3935072651503,216.703697241567
"181","Hospitalisations","All gastro pathogens","Haemolytic uremic syndrome","<5",11.5434314380413,4.37783857172033,29.1777724907759
"182","Hospitalisations","All gastro pathogens","Haemolytic uremic syndrome","5-64",55.5826414977577,21.0796792247657,140.493550532416
"183","Hospitalisations","All gastro pathogens","Haemolytic uremic syndrome","65+",15.9746047096911,6.05835804036597,40.3782345268152
"184","Hospitalisations","All gastro pathogens","Haemolytic uremic syndrome","All ages",83.1006776454901,31.515875836852,210.049557550007
"185","Hospitalisations","All gastro pathogens","Initial and sequel disease","<5",4977.89443215864,2625.85734365385,8714.5433229118
"186","Hospitalisations","All gastro pathogens","Initial and sequel disease","5-64",29767.7323424006,16510.5284239706,50582.1369478504
"187","Hospitalisations","All gastro pathogens","Initial and sequel disease","65+",16759.795197886,9009.63608055836,29047.4299077581
"188","Hospitalisations","All gastro pathogens","Initial and sequel disease","All ages",52792.8690967495,35737.8017058083,76161.4238682226
"189","Hospitalisations","Norovirus","Norovirus","<5",485.197284410094,133.498330452943,1033.5758035868
"190","Hospitalisations","Norovirus","Norovirus","5-64",435.339180825607,119.018604355383,929.36192636715
"191","Hospitalisations","Norovirus","Norovirus","65+",309.932672111168,85.1491400201855,660.262968411121
"192","Hospitalisations","Norovirus","Norovirus","All ages",1293.27989784901,693.731887422902,2050.79398724995
"193","Hospitalisations","Norovirus","Initial and sequel disease","<5",485.197284410094,133.498330452943,1033.5758035868
"194","Hospitalisations","Norovirus","Initial and sequel disease","5-64",435.339180825607,119.018604355383,929.36192636715
"195","Hospitalisations","Norovirus","Initial and sequel disease","65+",309.932672111168,85.1491400201855,660.262968411121
"196","Hospitalisations","Norovirus","Initial and sequel disease","All ages",1293.27989784901,693.731887422902,2050.79398724995
"197","Hospitalisations","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5",6.92345044277648,2.59752983035806,15.9766758260973
"198","Hospitalisations","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64",33.5041977615922,12.5901097567706,77.5490165851023
"199","Hospitalisations","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+",34.6550447174617,12.9747169153829,80.2274881752729
"200","Hospitalisations","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All ages",80.6152885812782,42.8963604200777,139.819536569049
"201","Hospitalisations","Escherichia coli (Non-STEC)","Initial and sequel disease","<5",6.92345044277648,2.59752983035806,15.9766758260973
"202","Hospitalisations","Escherichia coli (Non-STEC)","Initial and sequel disease","5-64",33.5041977615922,12.5901097567706,77.5490165851023
"203","Hospitalisations","Escherichia coli (Non-STEC)","Initial and sequel disease","65+",34.6550447174617,12.9747169153829,80.2274881752729
"204","Hospitalisations","Escherichia coli (Non-STEC)","Initial and sequel disease","All ages",80.6152885812782,42.8963604200777,139.819536569049
"205","Hospitalisations","Campylobacter","Campylobacteriosis","<5",399.287800529569,264.400095887077,556.599883689583
"206","Hospitalisations","Campylobacter","Campylobacteriosis","5-64",5693.56111370843,3780.5178121769,7914.85466308109
"207","Hospitalisations","Campylobacter","Campylobacteriosis","65+",3453.53691231335,2293.00850299467,4802.04223106176
"208","Hospitalisations","Campylobacter","Campylobacteriosis","All ages",9588.52181843625,7290.55852071978,12149.8402050053
"209","Hospitalisations","Campylobacter","Reactive arthritis","<5",13.1699383496867,6.06573635969333,23.7722433153149
"210","Hospitalisations","Campylobacter","Reactive arthritis","5-64",143.569890834033,84.6561258388205,222.339614329636
"211","Hospitalisations","Campylobacter","Reactive arthritis","65+",33.8510225656067,20.3395915305252,52.0089051601844
"212","Hospitalisations","Campylobacter","Reactive arthritis","All ages",192.938499286521,122.661386510353,278.580306554911
"213","Hospitalisations","Campylobacter","Irritable bowel syndrome","<5",1.46516441172311,0.658875072760284,3.63688258562751
"214","Hospitalisations","Campylobacter","Irritable bowel syndrome","5-64",1329.81903275302,639.378668822852,3177.59178640247
"215","Hospitalisations","Campylobacter","Irritable bowel syndrome","65+",329.056707246505,158.629613057155,787.525939218929
"216","Hospitalisations","Campylobacter","Irritable bowel syndrome","All ages",1730.61351303297,940.920047597236,3602.68563415403
"217","Hospitalisations","Campylobacter","Guillain-Barré syndrome","<5",8.11781699013086,3.96265183274049,16.7087507494985
"218","Hospitalisations","Campylobacter","Guillain-Barré syndrome","5-64",73.9590042384985,36.1025364392483,152.228433950228
"219","Hospitalisations","Campylobacter","Guillain-Barré syndrome","65+",23.2069897315985,11.3283189931615,47.7665125418403
"220","Hospitalisations","Campylobacter","Guillain-Barré syndrome","All ages",105.283810960228,51.3935072651503,216.703697241567
"221","Hospitalisations","Campylobacter","Initial and sequel disease","<5",423.691957039709,288.359633464222,581.751701869983
"222","Hospitalisations","Campylobacter","Initial and sequel disease","5-64",7433.06927232529,5208.09585027815,10123.5159111634
"223","Hospitalisations","Campylobacter","Initial and sequel disease","65+",3894.86032166344,2695.17389299095,5288.00767467786
"224","Hospitalisations","Campylobacter","Initial and sequel disease","All ages",11807.0462894805,9207.29684471977,14797.577473069
"225","Hospitalisations","Non-typhoidal Salmonella","Salmonellosis","<5",891.212506080787,563.686014552545,1286.95449755543
"226","Hospitalisations","Non-typhoidal Salmonella","Salmonellosis","5-64",1533.70928271271,969.732926717082,2218.74809516426
"227","Hospitalisations","Non-typhoidal Salmonella","Salmonellosis","65+",695.353942282513,440.512122384103,1006.11382005827
"228","Hospitalisations","Non-typhoidal Salmonella","Salmonellosis","All ages",3149.32096488331,2414.34171230548,3968.27261029371
"229","Hospitalisations","Non-typhoidal Salmonella","Reactive arthritis","<5",9.53856289251131,3.02736766314909,19.2905595444749
"230","Hospitalisations","Non-typhoidal Salmonella","Reactive arthritis","5-64",27.0261139210163,6.65216852370322,72.4691711812521
"231","Hospitalisations","Non-typhoidal Salmonella","Reactive arthritis","65+",5.40451544820216,1.31491956653367,14.9958924228236
"232","Hospitalisations","Non-typhoidal Salmonella","Reactive arthritis","All ages",42.963253575684,11.6066392254418,103.007908515417
"233","Hospitalisations","Non-typhoidal Salmonella","Irritable bowel syndrome","<5",0.876602353179289,0.353913783136513,2.32748187065381
"234","Hospitalisations","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64",206.706469264324,73.4163422760061,603.433755068127
"235","Hospitalisations","Non-typhoidal Salmonella","Irritable bowel syndrome","65+",43.1410626751181,15.2080514663909,127.7879887395
"236","Hospitalisations","Non-typhoidal Salmonella","Irritable bowel syndrome","All ages",260.279428117226,100.318563160394,687.843067066288
"237","Hospitalisations","Non-typhoidal Salmonella","Initial and sequel disease","<5",902.253305040307,574.805898660898,1298.55891486199
"238","Hospitalisations","Non-typhoidal Salmonella","Initial and sequel disease","5-64",1817.04986822055,1197.12071933278,2575.53361147697
"239","Hospitalisations","Non-typhoidal Salmonella","Initial and sequel disease","65+",755.705150773253,492.628754255263,1072.36066062036
"240","Hospitalisations","Non-typhoidal Salmonella","Initial and sequel disease","All ages",3502.0110861958,2709.3706406468,4404.9114154195
